Cluster,Cluster_Name,Top_Words,Sample_Names,Count
27,перевозка специализированный перевозка,"перевозка, специализированный перевозка, специализированный, перевозка пищевой, пищевой","Фургон для перевозки опасных грузов, Специализированный, для перевозки пищевых жидкостей, Для перевозки продуктов питания, в том числе скоропортящихся, Специализированный, для перевозки и временного хранения взрывчатых веществ и изделий, Специализированный, для перевозки животных",35
28,погрузчик телескопический,"погрузчик, телескопический, фронтальный, мини погрузчик, крюковой","Мультилифт (Крюковой погрузчик), Погрузчик, Газовый погрузчик, Мини-погрузчик, Портальный погрузчик",56
29,трактор промышленный,"трактор, промышленный, колесный, трактор промышленный, трактор гусеничный","Трактор, Трактор трелеровочный(скиддер), Многофункциональный маневровый трактор, Трактор садовый, Трактор промышленный колесный",21
30,рефрижератор грузовой рефрижератор,"рефрижератор, грузовой рефрижератор, рефрижератор гидроборт, специальный рефрижератор, специализированный рефрижератор","Прицеп-рефрижератор, Полуприцеп-рефрижератор, Грузовой рефрижератор, Грузовой рефрижератор с гидробортом, Автофургон-рефрижератор",17
31,тягач седельный,"тягач, седельный, седельный тягач, автомобиль тягач, тягач лесовозный","Седельный тягач, Тягач седельный с КМУ, Багажный тягач, Грузовой седельный тягач, Грузовой-тягач седельный",28
32,вакуумный подметальный,"вакуумный, подметальный, машина, машина вакуумный, подметальный уборочный","Машина вакуумная, Автоцистерна вакуумная, Прицеп специальный подметально-уборочный, Специальный, прицеп подметально-уборочный, Автомобиль вакуумный",20
33,автопогрузчик дизельный,"автопогрузчик, дизельный, дизельный автопогрузчик, автопогрузчик дизельный, электрический","Телескопический автопогрузчик, Автопогрузчик, Автопогрузчик контейнерный, Электрический автопогрузчик, Автопогрузчик",18
34,рабочий платформа рабочий,"рабочий платформа, рабочий, платформа, подъемник, подъемник рабочий","Специальный, оснащенный подъемником с рабочей платформой, Мобильный подъемник с рабочей платформой, Подъемник коленчатый с рабочей платформой, Специальный, оснащенный подъемником с рабочей платформой, Подъемник с рабочей платформой специальный многофункциональный",17
35,передвижной специальный передвижной,"передвижной, специальный передвижной, специальный, мастерский передвижной, мастерский","Передвижная мастерская, Передвижная лаборатория, Специальный, передвижной мобильный комплекс, Установка промысловая паровая передвижная, Передвижная парогенераторная установка",27
36,гусеничный ход гусеничный,"гусеничный ход, гусеничный, ход, самоходный гусеничный, самоходный","Установка сваебойная гидравлическая самоходная на гусеничном ходу, Кран стреловой на гусеничном ходу, Трактор промышленный на гусеничном ходу, Кран самоходный на гусеничном ходу, Самоходный гусеничный мульчер",18
37,комбайн зерноуборочный,"комбайн, зерноуборочный, кормоуборочный, комбайн кормоуборочный, самоходный","Комбайн, Свеклоуборочный комбайн, Комбайн зерноуборочный самоходный, Комбайн кормоуборочный, Комбайн зерноуборочный",13
38,перегружатель ричстакер,"перегружатель, ричстакер, экскаватор перегружатель, перегружатель колесный, экскаватор","Ричстакер, Перегружатель асфальта, Экскаватор-перегружатель, Ричстакер, Погрузчик-ричстакер",13
39,сортировочная сортировочная установка,"сортировочная, сортировочная установка, установка, мобильный сортировочная, мобильный","Установка сортировочная передвижная (грохот), Установка мобильная сортировочная, Самоходная сортировочная установка, Передвижная сортировочная установка, Мобильная сортировочная установка",6
40,гусеничный экскаватор,"гусеничный, экскаватор, одноковшовый, полноповоротный, экскаватор одноковшовый","Экскаватор одноковшовый, Гусеничный бульдозер, Гусеничный экскаватор, Бульдозер гусеничный, Экскаватор гусеничный",30
41,каток дорожный,"каток, дорожный, вибрационный, каток дорожный, машина","Каток полуприцепной, Каток прицепной, Каток самоходный, Фреза дорожная, Каток дорожный",53
42,самосвал автомобиль самосвал,"самосвал, автомобиль самосвал, самосвал кму, кму, специализированный самосвал","Самосвал с КМУ, Самосвал, Самосвал сочлененный, Прицеп-самосвал, Самосвал карьерный",34
43,специальный автобус,"специальный, автобус, асмп, специальный асмп, специальный мобильный","Автобус для перевозки детей, Вахтовый автобус, Городской автобус, Междугородний автобус, Ритуальный автобус",73
44,измельчитель прицеп измельчитель,"измельчитель, прицеп измельчитель, прицепной, мобильный измельчитель, измельчитель прицепной","Прицеп-измельчитель, Измельчитель, Измельчитель ветвей, Измельчитель прицепной, Прицеп измельчитель древесный",9
45,сельскохозяйственный трактор,"сельскохозяйственный, трактор, колесный сельскохозяйственный, колесный, трактор колесный","Сельскохозяйственный погрузчик, Трактор колесный сельскохозяйственный, Сельскохозяйственный трактор, Сельскохозяйственный трактор колесный, Погрузчик сельскохозяйственный",17
46,буровой установка,"буровой, установка, буровой установка, буровой машина, роторный","Буровая машина, Буровая установка, Буровой станок, Буровая установка, Буровая самоходная установка",22
