"Id";"Version";"TypeId";"Name";"IsActive"
"508";"165865742";"11";"Специализированный, сортиментовоз с ГМ";"true"
"509";"165865742";"49";"Универсальная машина дорожная";"true"
"510";"165865742";"11";"Специальный, для коммунального хозяйства и содержания дорог";"true"
"511";"165865742";"27";"Специализированный, бортовой полуприцеп без тента";"true"
"512";"165865742";"4";"Тягач";"true"
"513";"165865742";"60";"Кран стреловой";"true"
"514";"165865742";"27";"Полуприцеп фургон";"true"
"515";"165865742";"16";"Кран-манипулятор автомобильный (бортовой)";"true"
"516";"165865742";"62";"Одноковшовый погрузчик-экскаватор";"true"
"517";"165865742";"33";"Комбайн зерноуборочный";"true"
"518";"165865742";"62";"Погрузчик одноковшовый";"true"
"519";"165865742";"31";"Электротягач";"true"
"520";"165865742";"31";"Электропогрузчик с вилочным захватом";"true"
"521";"165865742";"38";"Каток дорожный самоходный";"true"
"522";"165865742";"12";"Автомобиль скорой медицинской помощи";"true"
"523";"165865742";"60";"Кран-трубоукладчик";"true"
"524";"165865742";"15";"Специальный, передвижная парогенераторная установка";"true"
"525";"165865742";"62";"Погрузчик фронтальный одноковшовый";"true"
"526";"165865742";"25";"Специальный, прицеп-самосвал";"true"
"527";"165865742";"11";"Цистерна для пищевых жидкостей";"true"
"528";"165865742";"25";"Подъемник прицеп гидравлический";"true"
"529";"165865742";"16";"Специальное (кран-манипулятор автомобильный (седельный тягач))";"true"
"530";"165865742";"35";"Гусеничный экскаватор";"true"
"531";"165865742";"62";"Мини погрузчик фронтальный";"true"
"532";"165865742";"162";"Прицеп тракторный сельскохозяйственный";"true"
"533";"165865742";"16";"Бортовой с краном-манипулятором";"true"
"534";"165865742";"62";"Автопогрузчик";"true"
"535";"165865742";"49";"Агрегат сварочный самоходный";"true"
"536";"165865742";"62";"Экскаватор одноковшовый погрузчик-универсальный";"true"
"537";"165865742";"15";"Установка статического зондирования";"true"
"538";"165865742";"4";"Специальный, грузовой седельный тягач";"true"
"539";"165865742";"16";"Бортовой с г/м";"true"
"540";"165865742";"3";"Специальный, грузопассажирский автомобиль";"true"
"541";"241210040";"4";"Специальный, грузовой тягач седельный";"true"
"542";"241210040";"3";"Грузовой фургон изотермический";"true"
"543";"241210040";"11";"Специализированный, автоцистерна вакуумная";"true"
"544";"241210040";"1";"Грузовой бортовой тентованый";"true"
"545";"241210040";"49";"Агрегат сварочный самоходный гусеничный";"true"
"546";"241210040";"6";"Специализированный, фургон рефрижератор";"true"
"547";"241210040";"7";"Специальный, автоцистерна пожарная";"true"
"548";"241210040";"25";"Бортовая платформа";"true"
"549";"325177329";"16";"Специальный, для перевозки сменных кузовов";"true"
"550";"325177329";"6";"Фургон рефрижератор";"true"
